opportunity_id,cluster,center_lat,center_lon,total_orders,avg_daily_orders,demand_level,competitors_within_2km,nearest_competitor_km,opportunity_score,opportunity_level
OPP001,4,12.945346061286763,77.64636398283358,19,19.0,High,2,1.89,62.51162790697674,High Opportunity
OPP002,4,12.936853857427959,77.65451961328715,18,18.0,High,2,1.89,61.116279069767444,High Opportunity
OPP003,1,12.990888581783265,77.78581102355307,14,14.0,High,0,2.13,59.53488372093023,High Opportunity
OPP004,1,12.945654259588075,77.77612061924685,13,13.0,High,0,2.43,58.13953488372093,High Opportunity
OPP005,4,12.937229681024974,77.66471086650743,14,14.0,High,2,1.16,55.53488372093023,High Opportunity
OPP006,4,12.945863299531121,77.65501595732805,14,14.0,High,2,1.45,55.53488372093023,High Opportunity
OPP007,1,12.946631005760466,77.76705655087144,12,12.0,High,1,1.52,54.74418604651163,High Opportunity
OPP008,2,12.982857137915438,77.58194075557115,13,13.0,High,2,0.87,54.13953488372093,High Opportunity
OPP009,2,12.982284308701445,77.59074869111488,27,27.0,High,3,1.2,71.67441860465115,Medium Opportunity
OPP010,4,12.955029782455926,77.63763658248034,28,28.0,High,4,1.21,71.06976744186046,Medium Opportunity
OPP011,2,12.965034551163686,77.57194869750553,27,27.0,High,4,1.21,69.67441860465115,Medium Opportunity
OPP012,5,12.9994175484133,77.59128195653327,24,24.0,High,3,0.96,67.48837209302326,Medium Opportunity
OPP013,4,12.954361884726,77.6272969519635,25,25.0,High,5,1.29,64.88372093023256,Medium Opportunity
OPP014,2,12.971980277897835,77.58174177799528,22,22.0,High,3,1.25,64.69767441860465,Medium Opportunity
OPP015,4,12.937812895749433,77.64656740788796,23,23.0,High,4,1.49,64.09302325581395,Medium Opportunity
OPP016,2,12.983010888286017,77.56300441687353,23,23.0,High,4,0.55,64.09302325581395,Medium Opportunity
OPP017,4,12.94586935460901,77.63768189726287,22,22.0,High,4,1.36,62.69767441860465,Medium Opportunity
OPP018,4,12.963671551546742,77.62812496682831,23,23.0,High,5,1.39,62.09302325581395,Medium Opportunity
OPP019,4,12.955834366767446,77.64743724153533,22,22.0,High,5,0.74,60.69767441860465,Medium Opportunity
OPP020,4,12.954497484325435,77.654829248157,21,21.0,High,5,0.8,59.302325581395344,Medium Opportunity
OPP021,2,12.963342296821802,77.58318862709324,18,18.0,High,3,1.01,59.116279069767444,Medium Opportunity
OPP022,4,12.981918048502882,77.63752722426489,19,19.0,High,4,0.55,58.51162790697674,Medium Opportunity
OPP023,4,12.945238144357369,77.66454953475233,17,17.0,High,3,1.35,57.72093023255814,Medium Opportunity
OPP024,2,12.98950926745053,77.58136935725767,17,17.0,High,3,1.12,57.72093023255814,Medium Opportunity
OPP025,1,12.955772327926631,77.75629433060128,19,19.0,High,5,0.96,56.51162790697674,Medium Opportunity
OPP026,2,12.955201361527367,77.57236699294778,18,18.0,High,5,0.61,55.116279069767444,Medium Opportunity
OPP027,5,13.000636922483908,77.59966868094686,18,18.0,High,5,0.22,55.116279069767444,Medium Opportunity
OPP028,5,12.990522575795866,77.59136109866152,16,16.0,High,4,0.83,54.325581395348834,Medium Opportunity
OPP029,5,12.991419620888879,77.6187722034612,17,17.0,High,5,0.38,53.72093023255814,Medium Opportunity
OPP030,4,12.998498131452587,77.6378005575457,14,14.0,High,3,1.0,53.53488372093023,Medium Opportunity
OPP031,1,12.955700695416773,77.77582411932842,9,9.0,Medium,0,2.17,52.55813953488372,Medium Opportunity
OPP032,2,12.98152821353844,77.57155994283845,13,13.0,High,3,0.31,52.13953488372093,Medium Opportunity
OPP033,2,12.973510799261849,77.5716443664438,14,14.0,High,4,0.83,51.53488372093023,Medium Opportunity
OPP034,4,12.989971587407046,77.6455963899593,14,14.0,High,4,1.26,51.53488372093023,Medium Opportunity
OPP035,5,13.008867906600328,77.58286387590461,14,14.0,High,4,1.19,51.53488372093023,Medium Opportunity
OPP036,5,13.027261387824455,77.59110779453535,14,14.0,High,4,0.17,51.53488372093023,Medium Opportunity
OPP037,1,12.919377521586046,77.7574262528326,8,8.0,Medium,0,2.09,51.16279069767442,Medium Opportunity
OPP038,5,13.000414300183255,77.62781992773476,15,15.0,High,5,1.48,50.93023255813954,Medium Opportunity
OPP039,5,12.99963961806413,77.5809976052176,12,12.0,High,3,0.29,50.74418604651163,Medium Opportunity
OPP040,1,12.945347354645655,77.74762435617016,9,9.0,Medium,1,0.83,50.55813953488372,Medium Opportunity
OPP041,2,12.956087880826601,77.55472594845597,13,13.0,High,4,0.68,50.13953488372093,Medium Opportunity
OPP042,2,12.963785693809836,77.56307674584255,13,13.0,High,4,0.57,50.13953488372093,Medium Opportunity
OPP043,5,13.008488417292607,77.60990128420859,13,13.0,High,4,0.93,50.13953488372093,Medium Opportunity
OPP044,5,13.007965170876705,77.62010126612967,13,13.0,High,4,1.06,50.13953488372093,Medium Opportunity
OPP045,5,13.017763761371196,77.58983667980456,13,13.0,High,4,1.01,50.13953488372093,Medium Opportunity
OPP046,4,12.981479956485137,77.64715872803835,14,14.0,High,5,0.62,49.53488372093023,Medium Opportunity
OPP047,4,12.983207518850339,77.65548618725647,14,14.0,High,5,1.4,49.53488372093023,Medium Opportunity
OPP048,5,13.017358270753943,77.57256552504968,14,14.0,High,5,1.3,49.53488372093023,Medium Opportunity
OPP049,2,12.928289537451176,77.53584279512208,12,12.0,High,4,1.21,48.74418604651163,Medium Opportunity
OPP050,1,12.947214274164,77.75589810165866,9,9.0,Medium,2,0.68,48.55813953488372,Medium Opportunity
OPP051,1,12.937960442288393,77.77568788587014,6,6.0,Medium,0,2.37,48.372093023255815,Medium Opportunity
OPP052,1,12.937895358391971,77.80250970952848,6,6.0,Medium,0,5.26,48.372093023255815,Medium Opportunity
OPP053,1,12.945114698217948,77.78286295690376,6,6.0,Medium,0,3.14,48.372093023255815,Medium Opportunity
OPP054,1,12.964441243276335,77.79366555612768,6,6.0,Medium,0,2.63,48.372093023255815,Medium Opportunity
OPP055,1,12.98191276638327,77.8110196131391,6,6.0,Medium,0,4.32,48.372093023255815,Medium Opportunity
OPP056,1,13.007699317652614,77.80348356210227,6,6.0,Medium,0,4.7,48.372093023255815,Medium Opportunity
OPP057,1,13.027101389764136,77.78300073110209,6,6.0,Medium,0,2.24,48.372093023255815,Medium Opportunity
OPP058,1,12.964904190111257,77.76586940555381,13,13.0,High,5,0.95,48.13953488372093,Medium Opportunity
OPP059,2,12.989794939729514,77.57217698675557,13,13.0,High,5,1.05,48.13953488372093,Medium Opportunity
OPP060,5,13.00950094259882,77.57349035415274,10,10.0,High,3,0.58,47.95348837209302,Medium Opportunity
OPP061,1,12.936984846846697,77.75804148897767,7,7.0,Medium,1,0.65,47.76744186046511,Medium Opportunity
OPP062,1,12.954821597450623,77.7668957519011,7,7.0,Medium,1,1.5,47.76744186046511,Medium Opportunity
OPP063,5,13.080266460583099,77.58234274453089,7,7.0,Medium,1,1.42,47.76744186046511,Medium Opportunity
OPP064,4,12.955072674832287,77.66534997920692,11,11.0,High,4,0.36,47.348837209302324,Medium Opportunity
OPP065,1,12.999972609231918,77.74031083882676,11,11.0,High,4,0.41,47.348837209302324,Medium Opportunity
OPP066,5,13.008376890240212,77.60024482158916,11,11.0,High,4,0.64,47.348837209302324,Medium Opportunity
OPP067,1,12.911314363995146,77.76451097680271,5,5.0,Medium,0,3.22,46.97674418604651,Medium Opportunity
OPP068,1,12.917028789804405,77.7649570437924,5,5.0,Medium,0,2.93,46.97674418604651,Medium Opportunity
OPP069,1,12.928457413280626,77.79388445987453,5,5.0,Medium,0,4.54,46.97674418604651,Medium Opportunity
OPP070,1,12.955937484372232,77.78472028351364,5,5.0,Medium,0,2.52,46.97674418604651,Medium Opportunity
OPP071,1,12.955876459511142,77.79724927398092,5,5.0,Medium,0,3.47,46.97674418604651,Medium Opportunity
OPP072,1,12.971280773341828,77.79151264907293,5,5.0,Medium,0,2.17,46.97674418604651,Medium Opportunity
OPP073,1,12.972438950498335,77.81073546342654,5,5.0,Medium,0,4.22,46.97674418604651,Medium Opportunity
OPP074,1,12.990906097852337,77.79512270841596,5,5.0,Medium,0,3.09,46.97674418604651,Medium Opportunity
OPP075,1,12.992051102978994,77.80182577967012,5,5.0,Medium,0,3.77,46.97674418604651,Medium Opportunity
OPP076,1,12.998951374723253,77.78426141457291,5,5.0,Medium,0,2.46,46.97674418604651,Medium Opportunity
OPP077,1,13.002001949154124,77.79397424463102,5,5.0,Medium,0,3.49,46.97674418604651,Medium Opportunity
